ORDER_ID,REVENUE_TYPE,CUSTOMER_ID,REGION_ID,PRODUCT_LINE_ID,PRODUCT_ID,TECH_NODE_ID,CURRENCY_CODE,BOOKING_DATE,PLANNED_SHIP_DATE,SHIP_DATE,ACCEPTANCE_DATE,FOB_TERMS,REVREC_DATE,GROSS_PRICE_USD,DISCOUNT_RATE,NET_REVENUE_USD,NET_REVENUE_LOCAL,QTY,YEAR,QUARTER,MONTH,REVENUE_USD_TOTAL
ORD_000001,SPARES,CUST_SMIC,CN,PL_ETCH,PR_ETCH_001,TN_22,HKD,2023-10-21,2024-01-01,2024-01-04,2024-02-05,FOB_SHIP_POINT,2024-03-06,312111.31,0.1163,275812.76,2151339.54,2,2024,1,3,551625.52
ORD_000002,SPARES,CUST_QUALCOMM,NA,PL_ETCH,PR_ETCH_002,TN_65,CAD,2025-03-29,2025-05-18,2025-05-26,2025-06-22,FOB_SHIP_POINT,2025-07-18,380463.83,0.0876,347135.2,468632.52,9,2025,3,7,3124216.79
ORD_000003,CAPEX_TOOL,CUST_NVIDIA,NA,PL_PACKAGING,PR_PACK_001,TN_14,USD,2025-02-06,2025-03-08,2025-03-12,2025-03-25,FOB_SHIP_POINT,2025-04-22,5777988.22,0.2455,4359492.11,4359492.11,1,2025,2,4,4359492.11
ORD_000004,SPARES,CUST_BROADCOM,NA,PL_CVD,PR_CVD_004,TN_03,CAD,2024-09-18,2024-10-16,2024-10-17,2024-11-13,FOB_DESTINATION,2024-11-16,279194.45,0.1174,246417.02,332662.98,2,2024,4,11,492834.05
ORD_000005,CAPEX_TOOL,CUST_NXP,EU,PL_CVD,PR_CVD_004,TN_05,EUR,2024-09-15,2024-09-28,2024-10-07,2024-10-20,FOB_DESTINATION,2024-11-12,23334042.68,0.2798,16805177.54,15124659.79,1,2024,4,11,16805177.54
ORD_000006,CAPEX_TOOL,CUST_SMIC,CN,PL_CMP,PR_CMP_003,TN_14,USD,2025-06-15,2025-08-28,2025-08-28,2025-09-04,FOB_DESTINATION,2025-09-18,12721909.61,0.0654,11889896.72,11889896.72,1,2025,3,9,11889896.72
ORD_000007,UPGRADE,CUST_TI,NA,PL_PACKAGING,PR_PACK_002,TN_12,MXN,2023-11-30,2024-01-18,2024-01-24,2024-03-01,FOB_DESTINATION,2024-03-03,3175413.53,0.2404,2412044.12,43416794.15,2,2024,1,3,4824088.24
ORD_000008,SPARES,CUST_TSMC,TW,PL_E_BEAM,PR_EB_002,TN_65,USD,2025-02-20,2025-04-04,2025-04-08,2025-04-26,FOB_SHIP_POINT,2025-05-24,454169.53,0.1124,403120.87,403120.87,2,2025,2,5,806241.74
ORD_000009,SPARES,CUST_SONY,JP,PL_EPI,PR_EPI_002,TN_12,JPY,2024-02-25,2024-03-28,2024-04-02,2024-05-07,FOB_DESTINATION,2024-05-27,245389.61,0.1344,212409.25,31861387.55,1,2024,2,5,212409.25
ORD_000010,SERVICE,CUST_AMD,NA,PL_METROLOGY,PR_MET_004,TN_90,MXN,2023-11-23,2024-01-07,2024-01-16,2024-02-11,FOB_DESTINATION,2024-03-09,895619.62,0.1924,723302.41,13019443.32,5,2024,1,3,3616512.03
ORD_000011,SERVICE,CUST_AMD,NA,PL_PVD,PR_PVD_001,TN_06,CAD,2024-10-25,2024-11-28,2024-12-05,2025-01-13,FOB_DESTINATION,2025-01-19,263441.4,0.1019,236596.72,319405.57,4,2025,1,1,946386.88
ORD_000012,UPGRADE,CUST_TI,NA,PL_ETCH,PR_ETCH_004,TN_12,MXN,2025-09-07,2025-11-02,2025-11-12,2025-11-17,FOB_DESTINATION,2025-12-13,3630277.11,0.0631,3401206.62,61221719.25,3,2025,4,12,10203619.87
ORD_000013,SERVICE,CUST_SKHYNIX,KR,PL_CVD,PR_CVD_004,TN_65,USD,2025-03-21,2025-05-28,2025-05-29,2025-06-03,FOB_DESTINATION,2025-06-21,1448308.07,0.0314,1402831.2,1402831.2,2,2025,2,6,2805662.4
ORD_000014,CAPEX_TOOL,CUST_QUALCOMM,NA,PL_PACKAGING,PR_PACK_002,TN_04,CAD,2025-03-28,2025-06-06,2025-06-13,2025-06-22,FOB_SHIP_POINT,2025-07-09,20675295.42,0.2225,16075042.19,21701306.96,1,2025,3,7,16075042.19
